gene_name,mhc_class,length,gc_pct,signature_sha1
HLA-A,I,4625,55.18,a2d0628febad5f89a10e1258dbe3511cfd2c393c
HLA-B,I,3317,59.00,68648b6f2b0cec46c5406580f435d8338a838f13
HLA-C,I,3382,59.28,b9870600a0cfe2cffea1bd6e7bd05129285fe5f7
HLA-DMA,II,20482,43.69,1e1bd39fab09343b84d9967ef8654f769c8fe29c
HLA-DMB,II,6400,45.12,b458009eac7955b8144e6fd1911169225ce12f38
HLA-DOA,II,5410,52.57,2dd9b0a77adc3b8752690ac0cf111f051a03c882
HLA-DOB,II,7704,43.38,5da2216b20a838171f8999db86455181de1ffec6
HLA-DPA1,II,16207,42.77,bac0182816edda5c2fc5f4e4f8dd80b350e515fa
HLA-DPA2,II,5543,47.86,14f36b3ac3ef6e3d91e1b6d835cf77e599b4578b
HLA-DPB1,II,13707,47.34,9ec8b43d067b55edf6bd06601c7fda73ae6a1eb4
HLA-DPB2,II,16634,46.36,2a939bf691aed72b37a427ab38e1d3d780e7dbac
HLA-DQA1,II,18884,40.06,c0bb7196f2e2dc723b200e61f086963af05871b4
HLA-DQA2,II,5808,43.10,21d8439a371b3a842f7bd0bccd7b057b3687e2e1
HLA-DQB1,II,8917,45.39,1a8a50bf8cde058f4f2f3b76ce27a76528eac3e5
HLA-DQB1-AS1,II,850,49.29,c979c0da1d2b68ff8c56b6b4182d167344d5b4c8
HLA-DQB2,II,7435,47.37,aa7afc3e8b194d79f1696613770308a5f4585772
HLA-DQB3,II,938,48.72,f49d5538948fa1dbc9e1c4131342fa52c8ed0027
HLA-DRA,II,5169,42.91,084c7b7503d897529f464eeb8f529507e7d3085e
HLA-DRB1,II,11080,44.36,7d1ab0fce4f9fea234f2f672cbf913b7245edc26
HLA-DRB5,II,12935,42.85,3855a4b7c5e12c011baff2752fd8d3eae5eec6e6
HLA-DRB6,II,7310,44.10,8a125e76ccee2a75f26f4f8bc5c7ec41e618e34d
HLA-DRB9,II,13680,40.77,70d6951f76ebe07367f0811cdc9b135ff86f7576
HLA-E,I,4686,55.61,80fa8c0ac03f80203f87f011573c99d9c479928a
HLA-F,I,15754,45.02,57af7daf9441a6fec7ff4d24f1a9cef4ea7aa7af
HLA-G,I,4159,56.38,9cfbc216c5cfd9553f96dd8404f1f63e12d54fcf
HLA-H,I,2731,60.53,8d4dc5d271cf7642fae92e22304c7ac6f2127903
HLA-J,I,3986,57.53,8410d873fbbef2b8bef5ddc4e8ad140c46958694
HLA-K,I,2774,59.12,91a899def3452cc3dacf0970e6d199dc94caee83
HLA-L,I,33431,41.18,b0578cba6dfa677da4210fb02b04f948a712185f
HLA-N,I,135,55.56,9f979e6e502ecaf6118935398b3d5b7312a78b37
HLA-P,I,2011,53.75,1eedda4f1b5b92956197eee6da2068ff2136ec66
HLA-S,I,215,50.23,d38aa2a438cfdf83e876f16130cb296d4639ac31
HLA-T,I,1133,51.54,188d40c997e5a8a87dc29399c312d938812c33e1
HLA-V,I,6858,45.28,3976dbb0943188af8824fc5ac3c8666fb44197c3
HLA-W,I,1975,53.27,08ccf9980a362df71894dbd8cc7a4c1657440c9e
HLA-Z,I,75,53.33,f4e747c2c50bf9c7956550becfa91e4e7bfd0892
